time,state,smoothing,residuals,variance,ac1,0,1,2,3
336,0.2761891915211983,0.27952006328833445,-0.0033308717671361454,4.9434346255734013e-05,0.0578208959664067,,,,
337,0.27882108385643695,0.2800874549425109,-0.0012663710860739696,4.9350141376850446e-05,0.05542149806898303,,,,
338,0.27539662354431543,0.2806523092748994,-0.005255685730583992,4.93048388865952e-05,0.06318758216140612,,,,
339,0.28172688828755527,0.28121443592820133,0.0005124523593539321,4.8948663244787494e-05,0.05983774369153799,0.8576657,0.1322898,0.004861074,0.005183353
340,0.2767754465432968,0.28177355822459266,-0.00499811168129588,4.90921831781568e-05,0.05786583945560737,,,,
341,0.2731886593781373,0.2823293506550432,-0.009140691276905921,4.967972597211695e-05,0.0636073006273748,,,,
342,0.28801465215478705,0.2828817662919759,0.005132885862811132,4.983397078388115e-05,0.05552651480539889,,,,
343,0.28503834581944637,0.2834309367470951,0.0016074090723512957,4.9852945717469414e-05,0.056656789586467825,,,,
344,0.28962033659921743,0.28397718345341144,0.00564315314580599,5.008951858259584e-05,0.058390319235437624,,,,
345,0.28765447237826597,0.284520773159319,0.0031336992189469615,5.0114857832926135e-05,0.06268428021861165,,,,
346,0.27852122911139454,0.28506196370236764,-0.006540734590973096,5.0317475582354706e-05,0.053547170701376275,,,,
347,0.2872658173303585,0.2856009085079481,0.0016649088224103825,4.9725450938290813e-05,0.058972482762976605,,,,
348,0.28657953716288626,0.28613782930640913,0.00044170785647712485,4.9531261669753984e-05,0.06911076998068943,,,,
349,0.29111683092303753,0.2866729512199613,0.004443879703076248,4.8632251033106436e-05,0.05219881711004304,0.9104929,0.08575334,0.0019070212,0.0018467605
350,0.29954836848659766,0.2872064342136342,0.012341934272963484,4.91269370079765e-05,0.04335915471789153,,,,
351,0.29116925812748273,0.2877384521212572,0.0034308060062255286,4.817864947369602e-05,0.05259592709733492,,,,
352,0.28869782220020274,0.28826904016371546,0.0004287820364872741,4.817032452949876e-05,0.05321173782185265,,,,
353,0.28392905322434514,0.288798169838946,-0.004869116614600877,4.83234578508766e-05,0.0508990663910963,,,,
354,0.28062136475838306,0.2893258031709526,-0.008704438412569515,4.862636847540613e-05,0.05175248182280622,,,,
355,0.2978245822799397,0.28985201857674964,0.00797256370319005,4.888333446336612e-05,0.045696584247914236,,,,
356,0.2953821016505466,0.2903771458025941,0.005004955847952519,4.880914061649529e-05,0.0448584412159579,,,,
357,0.30862026840200313,0.2909015797133537,0.017718688688649453,5.082503793901759e-05,0.0500782716871145,,,,
358,0.28904776012720407,0.29142571643954746,-0.0023779563123433878,5.0508432094534935e-05,0.0421106489407438,,,,
359,0.289640134043247,0.29194988554397566,-0.0023097515007286518,5.0555963563824216e-05,0.043085153119026,0.89140445,0.104630746,0.0020030306,0.001961847
360,0.2869178778740696,0.29247442201624924,-0.0055565441421796535,5.0811260350338366e-05,0.04460308589324577,,,,
361,0.30397610802477854,0.2929995903098477,0.010976517714930856,5.130007758350823e-05,0.03678010886904029,,,,
362,0.3055967098948582,0.293525607734435,0.01207110216042323,5.239727219163276e-05,0.05855435539711165,,,,
363,0.28645368883885425,0.29405259187931804,-0.007598903040463789,5.235906595275559e-05,0.04044906789748034,,,,
364,0.2983883682781107,0.2945804731300792,0.003807895148031537,5.241128059920261e-05,0.037509924619057236,,,,
365,0.2936994833279058,0.2951092907373555,-0.0014098074094496815,5.23028443195137e-05,0.03483834370261699,,,,
366,0.30304375093532315,0.2956390976240479,0.007404653311275267,5.264295633101624e-05,0.03250790573690066,,,,
367,0.3068002545592894,0.29616976172813203,0.010630492831157357,5.348557053415425e-05,0.04337181874684604,,,,
368,0.2911375348841183,0.29670119333632466,-0.005563658452206355,5.374971275051703e-05,0.03289739120594657,,,,
369,0.29690580182490206,0.29723329438430796,-0.0003274925594058953,5.3670016685683853e-05,0.026428909531598068,0.85722685,0.13825688,0.0018198211,0.0026964115
370,0.2900052990574674,0.2977658943504023,-0.00776059529293488,5.226623164877033e-05,0.049901865004872335,,,,
371,0.30935846981778514,0.2982986208061453,0.011059849011639866,5.251537515306771e-05,0.04330568896909268,,,,
372,0.2902855124197167,0.29883104305415015,-0.008545530634433474,5.295516379501656e-05,0.02611112856324378,,,,
373,0.2926943341654273,0.2993627429494996,-0.006668408784072322,5.3314279331050245e-05,0.036062438597694764,,,,
374,0.30907001837446946,0.2998931923036423,0.009176826070827149,5.3918481201551216e-05,0.028579732497897747,,,,
375,0.2857874191374406,0.3004221256142832,-0.014634706476842618,5.483673337117676e-05,0.0009904070392562133,,,,
376,0.3053638364607149,0.3009494710449362,0.0044143654157787204,5.478944578445823e-05,-0.007526389761888823,,,,
377,0.31428489205592036,0.3014752917167901,0.012809600339130256,5.6000159217115735e-05,-0.0006784050326963212,,,,
378,0.3001588203638758,0.30199963744518954,-0.0018408170813137281,5.587812444819473e-05,0.00022690498110311842,,,,
379,0.30618936040347217,0.3025224544578031,0.003666905945669041,5.546393881334352e-05,-0.0131387289470904,0.7072999,0.28615773,0.002532378,0.0040100347
380,0.3035324506991405,0.3030435388741519,0.0004889118249885582,5.453047241530557e-05,-0.025600721344677124,,,,
